,STATE,COUNTY,POPESTIMATE2014,FIPS
1,1,1,55395,01001
2,1,3,200111,01003
3,1,5,26887,01005
4,1,7,22506,01007
5,1,9,57719,01009
6,1,11,10764,01011
7,1,13,20296,01013
8,1,15,115916,01015
9,1,17,34076,01017
10,1,19,26037,01019
11,1,21,43931,01021
12,1,23,13323,01023
13,1,25,24945,01025
14,1,27,13552,01027
15,1,29,15080,01029
16,1,31,50909,01031
17,1,33,54543,01033
18,1,35,12670,01035
19,1,37,10886,01037
20,1,39,37914,01039
21,1,41,13977,01041
22,1,43,81289,01043
23,1,45,49484,01045
24,1,47,41711,01047
25,1,49,71065,01049
26,1,51,80977,01051
27,1,53,37733,01053
28,1,55,103531,01055
29,1,57,16874,01057
30,1,59,31601,01059
31,1,61,26712,01061
32,1,63,8553,01063
33,1,65,15184,01065
34,1,67,17190,01067
35,1,69,104193,01069
36,1,71,52665,01071
37,1,73,660793,01073
38,1,75,14086,01075
39,1,77,93096,01077
40,1,79,33477,01079
41,1,81,154255,01081
42,1,83,90787,01083
43,1,85,10580,01085
44,1,87,19425,01087
45,1,89,350299,01089
46,1,91,20110,01091
47,1,93,30271,01093
48,1,95,94636,01095
49,1,97,415123,01097
50,1,99,21947,01099
51,1,101,226189,01101
52,1,103,119607,01103
53,1,105,9826,01105
54,1,107,20365,01107
55,1,109,33389,01109
56,1,111,22539,01111
57,1,113,59608,01113
58,1,115,86697,01115
59,1,117,206655,01117
60,1,119,13166,01119
61,1,121,81322,01121
62,1,123,41165,01123
63,1,125,202212,01125
64,1,127,65471,01127
65,1,129,16834,01129
66,1,131,11098,01131
67,1,133,24150,01133
69,2,13,3360,02013
70,2,16,5750,02016
71,2,20,301010,02020
72,2,50,17868,02050
73,2,60,957,02060
74,2,68,1921,02068
75,2,70,4988,02070
76,2,90,99357,02090
77,2,100,2566,02100
78,2,105,2082,02105
79,2,110,32406,02110
80,2,122,57477,02122
81,2,130,13787,02130
82,2,150,13986,02150
83,2,164,1631,02164
84,2,170,97882,02170
85,2,180,9817,02180
86,2,185,9703,02185
87,2,188,7717,02188
88,2,195,3160,02195
89,2,198,6396,02198
90,2,220,8900,02220
91,2,230,1036,02230
92,2,240,6931,02240
93,2,261,9488,02261
94,2,270,8010,02270
95,2,275,2364,02275
96,2,282,635,02282
97,2,290,5547,02290
99,4,1,71828,04001
100,4,3,127448,04003
101,4,5,137682,04005
102,4,7,53119,04007
103,4,9,37957,04009
104,4,11,9346,04011
105,4,12,20231,04012
106,4,13,4087191,04013
107,4,15,203361,04015
108,4,17,108101,04017
109,4,19,1004516,04019
110,4,21,401918,04021
111,4,23,46695,04023
112,4,25,218844,04025
113,4,27,203247,04027
115,5,1,18594,05001
116,5,3,20948,05003
117,5,5,40857,05005
118,5,7,242321,05007
119,5,9,37196,05009
